id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1357681854846017541,1357681854846017541,2021-02-05 08:25:53 EST,2021-02-05,08:25:53,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,Shout out to Building Services for an amazing washroom and sink reno!!! We are so lucky!!! Thank you for your hard work!!! @LDCSB  https://t.co/1fiGGE5nMC,en,"[{'screen_name': 'ldcsb', 'name': 'london district catholic school board', 'id': '418976237'}]",[],"['https://pbs.twimg.com/media/Etd0cyNWgAAev66.jpg', 'https://pbs.twimg.com/media/Etd0cyLWgAEI93x.jpg']",1,0,12,[],[],https://twitter.com/SGeorgelondon/status/1357681854846017541,False,,1,https://pbs.twimg.com/media/Etd0cyNWgAAev66.jpg,,,,,,,[],,,,
1357365630786301952,1357365630786301952,2021-02-04 11:29:19 EST,2021-02-04,11:29:19,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,To all of our community front line workers...  https://t.co/jAsvgjVrAb,en,[],[],['https://pbs.twimg.com/media/EtZU17ZWgAIwI30.jpg'],0,0,3,[],[],https://twitter.com/SGeorgelondon/status/1357365630786301952,False,,1,https://pbs.twimg.com/media/EtZU17ZWgAIwI30.jpg,,,,,,,[],,,,
1355198918682959874,1355198918682959874,2021-01-29 11:59:35 EST,2021-01-29,11:59:35,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,Presenting “Kindergarten’s Got Talent”... Amazing talent in puzzle creating!!!!  https://t.co/q9df2795lA,en,[],[],['https://pbs.twimg.com/media/Es6iO3QXcAgQFoy.jpg'],0,0,5,[],[],https://twitter.com/SGeorgelondon/status/1355198918682959874,False,,1,https://pbs.twimg.com/media/Es6iO3QXcAgQFoy.jpg,,,,,,,[],,,,
1351199741388976137,1351199741388976137,2021-01-18 11:08:17 EST,2021-01-18,11:08:17,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,Excited to be a part of @RipleysAquaCA virtual trip with our Kindergarten students!!!  https://t.co/nvv1AQcKA7,en,"[{'screen_name': 'ripleysaquaca', 'name': ""ripley's aqua canada"", 'id': '348582270'}]",[],['https://pbs.twimg.com/media/EsBtAHVXEAYshoG.jpg'],0,0,2,[],[],https://twitter.com/SGeorgelondon/status/1351199741388976137,False,,1,https://pbs.twimg.com/media/EsBtAHVXEAYshoG.jpg,,,,,,,[],,,,
1350070786883776513,1350070786883776513,2021-01-15 08:22:13 EST,2021-01-15,08:22:13,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,"Thank you Chad Downes, SEA Trainer for digital accessibility training for our staff.  https://t.co/Prnx1KCXRM",en,[],[],['https://pbs.twimg.com/media/ErxqOWvWMAA6BsJ.jpg'],0,1,6,[],[],https://twitter.com/SGeorgelondon/status/1350070786883776513,False,,1,https://pbs.twimg.com/media/ErxqOWvWMAA6BsJ.jpg,,,,,,,[],,,,
1339597552665038850,1339597552665038850,2020-12-17 10:45:19 EST,2020-12-17,10:45:19,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,Let’s take an “Elfie”!! #KnightLife #ChristmasCharacterDay  https://t.co/ufjIb463hd,en,[],[],['https://pbs.twimg.com/media/Epc03h7VgAUMKJw.jpg'],0,0,15,"['knightlife', 'christmascharacterday']",[],https://twitter.com/SGeorgelondon/status/1339597552665038850,False,,1,https://pbs.twimg.com/media/Epc03h7VgAUMKJw.jpg,,,,,,,[],,,,
1339248831326773248,1339248831326773248,2020-12-16 11:39:38 EST,2020-12-16,11:39:38,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,Grade 7’s connecting with S.T.A counsellors virtually!  https://t.co/Ptt72V8zcT,en,[],[],['https://pbs.twimg.com/media/EpX3thJXcAksd3h.jpg'],0,0,4,[],[],https://twitter.com/SGeorgelondon/status/1339248831326773248,False,,1,https://pbs.twimg.com/media/EpX3thJXcAksd3h.jpg,,,,,,,[],,,,
1338934060496920579,1338934060496920579,2020-12-15 14:48:50 EST,2020-12-15,14:48:50,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,So we heard about @JVLondon new name. So we learned more about St. Rose of Lima! Her real name was Isabel Rose and she’s the Patron Saint of gardeners and embroiderers! Her feast is August 23rd! @LDCSB  https://t.co/ZCN2dmRRqR,en,"[{'screen_name': 'jvlondon', 'name': 'jean vanier - ldcsb', 'id': '3369442379'}, {'screen_name': 'ldcsb', 'name': 'london district catholic school board', 'id': '418976237'}]",[],['https://pbs.twimg.com/media/EpTZbdsW4Ac_sHk.jpg'],0,0,19,[],[],https://twitter.com/SGeorgelondon/status/1338934060496920579,False,,1,https://pbs.twimg.com/media/EpTZbdsW4Ac_sHk.jpg,,,,,,,[],,,,
1338850569637818369,1338850569637818369,2020-12-15 09:17:05 EST,2020-12-15,09:17:05,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,We will miss you Mrs. Jennings! Retirement in a few short days for you! Thank you for all that you have done for us! @LDCSB  https://t.co/SnTnS0ZXje,en,"[{'screen_name': 'ldcsb', 'name': 'london district catholic school board', 'id': '418976237'}]",[],['https://pbs.twimg.com/media/EpSNfraW8AAwNXG.jpg'],1,0,15,[],[],https://twitter.com/SGeorgelondon/status/1338850569637818369,False,,1,https://pbs.twimg.com/media/EpSNfraW8AAwNXG.jpg,,,,,,,[],,,,
1338835925841965061,1338835925841965061,2020-12-15 08:18:53 EST,2020-12-15,08:18:53,-0500,1145137417613168641,sgeorgelondon,@St.GeorgeLondon,,It’s the real “Mrs. Claus”. It’s really Mrs. Claus!!!  https://t.co/bfe96X52GE,en,[],[],['https://pbs.twimg.com/media/EpSALNOW4AAZ_qS.jpg'],0,0,9,[],[],https://twitter.com/SGeorgelondon/status/1338835925841965061,False,,1,https://pbs.twimg.com/media/EpSALNOW4AAZ_qS.jpg,,,,,,,[],,,,
